Category	category	Item #	SPECIES	SEEDS/OZ	SEEDS/PKT	GERM CODE	packet	1/8 oz	1/4 oz	1/2 oz	ounce	pound	Dormant Bare Roots	Potted 3-Pack	Potted Tray of 32	Potted Tray of 36	Potted Tray of 38	Potted Tray of 50	SPECIES	SUN	SOIL	HT	BLOOM TIME	BLOOM COLOR
Forb	F	ACO02F	Acorus americanus (Sweet Flag)	"5,400"	75	C(60)	$3.50	$4.00	$4.50	$5.20	$8.00	$120.00	$7.00					$159.00	Acorus americanus (Sweet Flag)	Full	Wet to Medium-Wet	2ft	May June July	Green
Forb	F	ACT06F	Actaea pachypoda (Doll's Eyes)	"3,700"	50	F	$3.50												Actaea pachypoda (Doll's Eyes)	Shade	Medium	2ft	May June	White
Forb	F	ACT08F	Actaea rubra (red Baneberry)	"5,500"	40	F	$3.50	$11.25											Actaea rubra (Red Baneberry)	Shade	Wet to Medium	2ft	April May	White
Fern	S	ADI02S	Adiantum pedatum (Maidenhair Fern)			S							$7.00						Adiantum pedatum (Maidenhair Fern)	Partial to Shade	Medium-Wet to Medium-Dry	2ft		Green
Forb	F	AGA50F	Agalinis purpurea (Purple False Foxglove)	"440,000"	300	"C(30),D"	$3.50												Agalinis purpurea (Purple False Foxglove)	Full to Partial	Wet to Medium	4ft	August September	Purple 
Forb	F	AGA02F	Agastache foeniculum (Anise Hyssop)	"80,000"	"1,000"	"C(30),D"	$3.50	$4.00	$4.80	$7.80	$12.00			$21.00			$169.00	$159.00	Agastache foeniculum (Anise Hyssop)	Full to Partial	Medium to Medium-Dry	3ft	June July August September	Purple
Forb	F	AGA04F	Agastache nepetoides (Yellow Giant Hyssop)	"80,000"	"1,000"	"C(60),D"	$3.50	$5.00	$8.00	$13.00	$20.00	$300.00							Agastache nepetoides (Yellow Giant Hyssop)	Full to Partial	Medium-Wet to Medium-Dry	6ft	July August September October	Cream
Forb	F	AGA06F	Agastache scrophulariifolia (Purple Giant Hyssop)	"65,000"	"1,000"	"C(60),D"	$3.50	$5.00	$8.00	$13.00	$20.00	$300.00		$21.00			$169.00		Agastache scrophulariifolia (Purple Giant Hyssop)	Full to Partial	Medium-Wet to Medium-Dry	6ft	July August September October	Purple
Forb	F	EUP10F	Ageratina altissima (White Snakeroot)	"150,000"	500	"C(60),D"	$3.50	$10.00	$15.00	$25.00	$40.00		$7.00						Ageratina altissima (White Snakeroot)	Partial to Shade	Medium-Wet to Medium-Dry	2ft	July August September October	White
Forb	F	AGR02F	Agrimonia gryposepala (Tall Hairy Agrimony)	"1,800"	15	A	$3.50												Agrimonia gryposepala (Tall Hairy Agrimony)	Partial	Medium-Wet to Medium-Dry	5ft	June July August September	Yellow
Forb	F	AGR04F	Agrimonia striata (Roadside Agrimony)	"2,200"	25	A	$3.50	$5.00	$8.00	$13.00	$20.00								Agrimonia striata (Roadside Agrimony)	Full to Partial	Medium-Wet to Medium	6ft	June July August September	Yellow
Forb	F	ALI02F	Alisma subcordatum (Mud Plantain)	"60,000"	"1,000"	C(30)	$3.50			$4.50	$5.00	$75.00			$179.00				Alisma subcordatum (Mud Plantain)	Full	Wet	3ft	June July August September	White
Forb	F	ALI04F	Alisma triviale (Large-flowered Water Plantain)	"90,000"	"1,000"	C(30)	$3.50			$4.50	$5.00	$75.00							Alisma triviale (Large-flowered Water Plantain)	Full	Wet	3ft	June July August September	White
Forb	F	ALL02F	Allium canadense (Wild Garlic)	560	15	C(60)	$3.50		$4.00	$5.00	$6.00	$90.00	$5.00		$129.00				Allium canadense (Wild Garlic)	Full to Shade	Medium-Wet to Dry	18in	May June July	Pink
Forb	F	ALL07F	Allium canadense var. lavendulare (Showy Wild Garlic)	"8,600"	20	C(60)							$8.00						Allium canadense var. lavendulare (Showy Wild Garlic)	Full	Medium to Medium-Dry	12in	April May June	White
Forb	F	ALL04F	Allium cernuum (Nodding Onion)	"7,600"	300	C(60)	$3.50	$5.00					$5.00					$169.00	Allium cernuum (Nodding Onion)	Full to Partial	Medium-Wet to Medium-Dry	18in	July August	Purple
Forb	F	ALL06F	Allium stellatum (Prairie Onion)	"11,000"	200	C(60)	$3.50	$4.00	$6.00	$9.75	$15.00	$225.00	$6.00						Allium stellatum (Prairie Onion)	Full to Partial	Medium to Dry	14in	July August	Purple
Forb	F	ALL08F	Allium tricoccum (Wild Leek)	"1,400"	30	"E,?"	$3.50	$7.50	$12.00	$19.50	$30.00		$7.00						Allium tricoccum (Wild Leek)	Partial to Shade	Medium-Wet to Medium-Dry	8in	June July	White
Tree/Shrub/Woody Vine	T	ALN02T	Alnus incana subsp. rugosa (Speckled Alder)	"28,000"	150	C(60)	$3.50												Alnus incana subsp. rugosa (Speckled Alder)	Full to Partial	Wet to Medium-Wet	up to 30ft	April May	Red
Tree/Shrub/Woody Vine	T	AME10T	Amelanchier arborea (Downy Serviceberry)			M							$12.00						Amelanchier arborea (Downy Serviceberry)	Full to Shade	Medium to Dry	up to 25ft	April May	
Tree/Shrub/Woody Vine	T	AME02T	Amelanchier laevis (Allegheny Serviceberry)			C(60) or M							$12.00						Amelanchier laevis (Allegheny Serviceberry)	Full to Partial	Medium-Wet to Dry	up to 25ft	April May	
